plant,inoculum,treatment,weight
"1,AB1,Kalex,""1.472"""
"2,AB1,Kalex,""1.614"""
"3,AB1,Kalex,""2.111"""
"4,AB1,Kalex,""1.757"""
"5,AB1,Kalex,""2.313"""
"6,AB1,Kalex,""1.443"""
"1,AB1,Ridomil,""1.716"""
"2,AB1,Ridomil,""1.254"""
"3,AB1,Ridomil,""0.853"""
"4,AB1,Ridomil,""1.644"""
"5,AB1,Ridomil,""1.461"""
"6,AB1,Ridomil,""1.589"""
"1,AB1,Control,""2.277"""
"2,AB1,Control,""1.576"""
"3,AB1,Control,""2.565"""
"4,AB1,Control,""3.65"""
"5,AB1,Control,""2.705"""
"6,AB1,Control,""1.921"""
"1,AB1,BV,""0.771"""
"2,AB1,BV,""2.795"""
"3,AB1,BV,""1.333"""
"4,AB1,BV,""3.547"""
"5,AB1,BV,""2.431"""
"1,AB1,F35,""4.274"""
"2,AB1,F35,""1.36"""
"3,AB1,F35,""3.679"""
"4,AB1,F35,""3.093"""
"5,AB1,F35,""3.557"""
"1,AB1,BV+F35,""2.402"""
"2,AB1,BV+F35,""2.661"""
"3,AB1,BV+F35,""2.021"""
"4,AB1,BV+F35,""1.461"""
"5,AB1,BV+F35,""1.488"""
"1,AB21,Kalex,""2.543"""
"2,AB21,Kalex,""2.022"""
"3,AB21,Kalex,""2.147"""
"4,AB21,Kalex,""4.803"""
"5,AB21,Kalex,""4.538"""
"6,AB21,Kalex,""2.041"""
"1,AB21,Ridomil,""2.231"""
"2,AB21,Ridomil,""1.273"""
"3,AB21,Ridomil,""1.66"""
"4,AB21,Ridomil,""1.699"""
"5,AB21,Ridomil,""1.359"""
"6,AB21,Ridomil,""1.168"""
"1,AB21,Control,""0.245"""
"2,AB21,Control,""3.226"""
"3,AB21,Control,""1.838"""
"4,AB21,Control,""1.964"""
"5,AB21,Control,""2.556"""
"6,AB21,Control,""1.667"""
"1,AB21,BV,""2.199"""
"2,AB21,BV,""2.638"""
"3,AB21,BV,""2.853"""
"4,AB21,BV,""3.514"""
"5,AB21,BV,""2.015"""
"1,AB21,F35,""3.699"""
"2,AB21,F35,""2.469"""
"3,AB21,F35,""1.469"""
"4,AB21,F35,""2.159"""
"5,AB21,F35,""2.699"""
"1,AB21,BV+F35,""2.588"""
"2,AB21,BV+F35,""1.556"""
"3,AB21,BV+F35,""2.913"""
"4,AB21,BV+F35,""2.058"""
"5,AB21,BV+F35,""1.745"""
"1,NI,Kalex,""3.137"""
"2,NI,Kalex,""2.555"""
"3,NI,Kalex,""3.279"""
"4,NI,Kalex,""3.702"""
"5,NI,Kalex,""3.901"""
"6,NI,Kalex,""3.224"""
"1,NI,Ridomil,""2.745"""
"2,NI,Ridomil,""2.706"""
"3,NI,Ridomil,""2.439"""
"4,NI,Ridomil,""2.473"""
"5,NI,Ridomil,""2.045"""
"6,NI,Ridomil,""2.074"""
"1,NI,Control,""4.003"""
"2,NI,Control,""3.489"""
"3,NI,Control,""4.866"""
"4,NI,Control,""3.647"""
"5,NI,Control,""3.976"""
"6,NI,Control,""3.539"""
"1,NI,BV,""3.746"""
"2,NI,BV,""3.208"""
"3,NI,BV,""3.946"""
"4,NI,BV,""2.068"""
"5,NI,BV,""3.074"""
"6,NI,BV,""2.541"""
"1,NI,F35,""2.871"""
"2,NI,F35,""2.893"""
"3,NI,F35,""2.915"""
"4,NI,F35,""2.537"""
"5,NI,F35,""4.277"""
"6,NI,F35,""3.477"""
"1,NI,BV+F35,""3.324"""
"2,NI,BV+F35,""3.015"""
"3,NI,BV+F35,""2.723"""
"4,NI,BV+F35,""3.368"""
"5,NI,BV+F35,""2.828"""
"6,NI,BV+F35,""2.737"""
